"","greedy","karmarkar-karp","RA"
"1",32,26,38
"2",32,26,0
"3",32,26,38
"4",32,26,204
"5",32,26,26
"6",32,26,204
"7",32,26,30
"8",32,26,30
"9",32,26,26
"10",32,26,228
"11",32,26,38
"12",32,26,44
"13",32,26,22
"14",32,26,36
"15",32,26,30
"16",32,26,32
"17",32,26,22
"18",32,26,30
"19",32,26,24
"20",32,26,22
"21",32,26,36
"22",32,26,62
"23",32,26,26
"24",32,26,62
"25",32,26,22
"26",32,26,32
"27",32,26,30
"28",32,26,204
"29",32,26,32
"30",32,26,68
"31",32,26,74
"32",32,26,0
"33",32,26,22
"34",32,26,204
"35",32,26,38
"36",32,26,26
"37",32,26,22
"38",32,26,30
"39",32,26,18
"40",32,26,24
"41",32,26,30
"42",32,26,18
"43",32,26,30
"44",32,26,228
"45",32,26,30
"46",32,26,18
"47",32,26,228
"48",32,26,18
"49",32,26,62
"50",32,26,32
"51",32,26,38
"52",32,26,32
"53",32,26,0
"54",32,26,30
"55",32,26,22
"56",32,26,68
"57",32,26,24
"58",32,26,74
"59",32,26,228
"60",32,26,26
"61",32,26,0
"62",32,26,30
"63",32,26,44
"64",32,26,32
"65",32,26,18
"66",32,26,36
"67",32,26,62
"68",32,26,26
"69",32,26,24
"70",32,26,62
"71",32,26,74
"72",32,26,26
"73",32,26,32
"74",32,26,204
"75",32,26,36
"76",32,26,204
"77",32,26,32
"78",32,26,0
"79",32,26,36
"80",32,26,30
"81",32,26,38
"82",32,26,32
"83",32,26,62
"84",32,26,32
"85",32,26,68
"86",32,26,36
"87",32,26,204
"88",32,26,472
"89",32,26,36
"90",32,26,74
"91",32,26,24
"92",32,26,26
"93",32,26,36
"94",32,26,32
"95",32,26,204
"96",32,26,36
"97",32,26,0
"98",32,26,24
"99",32,26,24
"100",32,26,228
"101",32,26,68
"102",32,26,24
"103",32,26,24
"104",32,26,38
"105",32,26,22
"106",32,26,44
"107",32,26,36
"108",32,26,30
"109",32,26,22
"110",32,26,44
"111",32,26,24
"112",32,26,26
"113",32,26,30
"114",32,26,30
"115",32,26,26
"116",32,26,32
"117",32,26,38
"118",32,26,18
"119",32,26,68
"120",32,26,204
"121",32,26,204
"122",32,26,22
"123",32,26,30
"124",32,26,62
"125",32,26,228
"126",32,26,30
"127",32,26,18
"128",32,26,36
"129",32,26,36
"130",32,26,26
"131",32,26,30
"132",32,26,22
"133",32,26,0
"134",32,26,22
"135",32,26,0
"136",32,26,44
"137",32,26,38
"138",32,26,32
"139",32,26,26
"140",32,26,24
"141",32,26,36
"142",32,26,30
"143",32,26,36
"144",32,26,26
"145",32,26,24
"146",32,26,26
"147",32,26,44
"148",32,26,62
"149",32,26,22
"150",32,26,36
"151",32,26,0
"152",32,26,30
"153",32,26,410
"154",32,26,74
"155",32,26,62
"156",32,26,18
"157",32,26,26
"158",32,26,30
"159",32,26,26
"160",32,26,26
"161",32,26,26
"162",32,26,36
"163",32,26,26
"164",32,26,68
"165",32,26,36
"166",32,26,0
"167",32,26,26
"168",32,26,0
"169",32,26,68
"170",32,26,18
"171",32,26,36
"172",32,26,38
"173",32,26,18
"174",32,26,74
"175",32,26,0
"176",32,26,30
"177",32,26,204
"178",32,26,204
"179",32,26,228
"180",32,26,204
"181",32,26,30
"182",32,26,62
"183",32,26,24
"184",32,26,30
"185",32,26,32
"186",32,26,0
"187",32,26,228
"188",32,26,30
"189",32,26,38
"190",32,26,36
"191",32,26,26
"192",32,26,410
"193",32,26,26
"194",32,26,38
"195",32,26,38
"196",32,26,36
"197",32,26,38
"198",32,26,30
"199",32,26,472
"200",32,26,44
"201",32,26,44
"202",32,26,32
"203",32,26,26
"204",32,26,38
"205",32,26,24
"206",32,26,26
"207",32,26,204
"208",32,26,30
"209",32,26,18
"210",32,26,26
"211",32,26,24
"212",32,26,24
"213",32,26,30
"214",32,26,30
"215",32,26,62
"216",32,26,228
"217",32,26,26
"218",32,26,32
"219",32,26,18
"220",32,26,62
"221",32,26,74
"222",32,26,26
"223",32,26,26
"224",32,26,68
"225",32,26,26
"226",32,26,32
"227",32,26,32
"228",32,26,26
"229",32,26,26
"230",32,26,38
"231",32,26,204
"232",32,26,32
"233",32,26,62
"234",32,26,32
"235",32,26,36
"236",32,26,26
"237",32,26,32
"238",32,26,26
"239",32,26,26
"240",32,26,44
"241",32,26,24
"242",32,26,22
"243",32,26,32
"244",32,26,32
"245",32,26,0
"246",32,26,32
"247",32,26,38
"248",32,26,24
"249",32,26,32
"250",32,26,30
"251",32,26,44
"252",32,26,18
"253",32,26,26
"254",32,26,204
"255",32,26,44
"256",32,26,22
"257",32,26,22
"258",32,26,228
"259",32,26,410
"260",32,26,36
"261",32,26,24
"262",32,26,62
"263",32,26,472
"264",32,26,24
"265",32,26,38
"266",32,26,44
"267",32,26,38
"268",32,26,24
"269",32,26,228
"270",32,26,18
"271",32,26,0
"272",32,26,18
"273",32,26,18
"274",32,26,62
"275",32,26,38
"276",32,26,32
"277",32,26,24
"278",32,26,410
"279",32,26,26
"280",32,26,32
"281",32,26,30
"282",32,26,228
"283",32,26,26
"284",32,26,18
"285",32,26,32
"286",32,26,24
"287",32,26,26
"288",32,26,18
"289",32,26,472
"290",32,26,204
"291",32,26,32
"292",32,26,44
"293",32,26,26
"294",32,26,228
"295",32,26,18
"296",32,26,0
"297",32,26,26
"298",32,26,68
"299",32,26,32
"300",32,26,204
"301",32,26,30
"302",32,26,26
"303",32,26,22
"304",32,26,74
"305",32,26,22
"306",32,26,26
"307",32,26,24
"308",32,26,30
"309",32,26,38
"310",32,26,68
"311",32,26,32
"312",32,26,30
"313",32,26,32
"314",32,26,410
"315",32,26,30
"316",32,26,38
"317",32,26,0
"318",32,26,0
"319",32,26,24
"320",32,26,228
"321",32,26,62
"322",32,26,204
"323",32,26,228
"324",32,26,204
"325",32,26,410
"326",32,26,38
"327",32,26,26
"328",32,26,204
"329",32,26,0
"330",32,26,32
"331",32,26,44
"332",32,26,30
"333",32,26,0
"334",32,26,32
"335",32,26,32
"336",32,26,24
"337",32,26,30
"338",32,26,22
"339",32,26,62
"340",32,26,472
"341",32,26,62
"342",32,26,26
"343",32,26,32
"344",32,26,228
"345",32,26,32
"346",32,26,204
"347",32,26,74
"348",32,26,24
"349",32,26,0
"350",32,26,410
"351",32,26,68
"352",32,26,38
"353",32,26,204
"354",32,26,30
"355",32,26,410
"356",32,26,30
"357",32,26,74
"358",32,26,30
"359",32,26,0
"360",32,26,68
"361",32,26,228
"362",32,26,44
"363",32,26,26
"364",32,26,36
"365",32,26,18
"366",32,26,38
"367",32,26,44
"368",32,26,32
"369",32,26,36
"370",32,26,30
"371",32,26,32
"372",32,26,36
"373",32,26,24
"374",32,26,30
"375",32,26,24
"376",32,26,18
"377",32,26,204
"378",32,26,26
"379",32,26,32
"380",32,26,74
"381",32,26,32
"382",32,26,30
"383",32,26,68
"384",32,26,472
"385",32,26,22
"386",32,26,30
"387",32,26,30
"388",32,26,24
"389",32,26,228
"390",32,26,204
"391",32,26,62
"392",32,26,26
"393",32,26,26
"394",32,26,36
"395",32,26,32
"396",32,26,74
"397",32,26,26
"398",32,26,204
"399",32,26,26
"400",32,26,24
"401",32,26,38
"402",32,26,36
"403",32,26,204
"404",32,26,204
"405",32,26,30
"406",32,26,22
"407",32,26,30
"408",32,26,36
"409",32,26,24
"410",32,26,22
"411",32,26,0
"412",32,26,44
"413",32,26,32
"414",32,26,36
"415",32,26,22
"416",32,26,24
"417",32,26,204
"418",32,26,26
"419",32,26,30
"420",32,26,36
"421",32,26,0
"422",32,26,410
"423",32,26,30
"424",32,26,36
"425",32,26,68
"426",32,26,38
"427",32,26,38
"428",32,26,32
"429",32,26,472
"430",32,26,30
"431",32,26,228
"432",32,26,26
"433",32,26,228
"434",32,26,32
"435",32,26,410
"436",32,26,24
"437",32,26,36
"438",32,26,62
"439",32,26,36
"440",32,26,204
"441",32,26,32
"442",32,26,36
"443",32,26,38
"444",32,26,62
"445",32,26,32
"446",32,26,74
"447",32,26,24
"448",32,26,22
"449",32,26,62
"450",32,26,74
"451",32,26,36
"452",32,26,30
"453",32,26,204
"454",32,26,0
"455",32,26,0
"456",32,26,32
"457",32,26,228
"458",32,26,36
"459",32,26,24
"460",32,26,32
"461",32,26,0
"462",32,26,74
"463",32,26,26
"464",32,26,26
"465",32,26,62
"466",32,26,30
"467",32,26,18
"468",32,26,68
"469",32,26,68
"470",32,26,26
"471",32,26,22
"472",32,26,38
"473",32,26,36
"474",32,26,44
"475",32,26,24
"476",32,26,0
"477",32,26,18
"478",32,26,22
"479",32,26,204
"480",32,26,30
"481",32,26,18
"482",32,26,30
"483",32,26,44
"484",32,26,228
"485",32,26,32
"486",32,26,30
"487",32,26,32
"488",32,26,24
"489",32,26,44
"490",32,26,38
"491",32,26,62
"492",32,26,36
"493",32,26,0
"494",32,26,26
"495",32,26,204
"496",32,26,38
"497",32,26,24
"498",32,26,32
"499",32,26,36
"500",32,26,44
"501",32,26,30
"502",32,26,22
"503",32,26,0
"504",32,26,62
"505",32,26,18
"506",32,26,38
"507",32,26,22
"508",32,26,24
"509",32,26,472
"510",32,26,22
"511",32,26,30
"512",32,26,36
"513",32,26,24
"514",32,26,74
"515",32,26,204
"516",32,26,26
"517",32,26,36
"518",32,26,26
"519",32,26,68
"520",32,26,38
"521",32,26,24
"522",32,26,410
"523",32,26,68
"524",32,26,32
"525",32,26,62
"526",32,26,26
